term,estimate,std.error,statistic,p.value,RR,LCL,UCL,measure
(Intercept),-1.9311019191828986,0.052433134727964736,-36.82980102566637,6.158395484794798e-297,0.14498834498834276,0.13082812197625693,0.1606812042006822,Crude Poisson robust (RR approx)
smokeYes,0.09193557680707765,0.07262857324380115,1.2658320644475052,0.20557321275649887,1.0962941930334695,0.950833389587719,1.2640079438102534,Crude Poisson robust (RR approx)
