term,estimate,std.error,statistic,p.value,RR,LCL,UCL,measure
(Intercept),-3.174984132752173,0.11657514646426044,-27.23551485071956,2.467187385869634e-163,0.0417947672475884,0.03325761818353286,0.052523381549463996,Poisson robust with interaction
smokeYes,0.10747132216756938,0.10953742541597129,0.981137923951053,0.3265247309934924,1.1134589287000918,0.8983261940007438,1.3801120285499875,Poisson robust with interaction
sexMale,0.27876400925390205,0.10302522492103897,2.705784039467553,0.006814334503442584,1.3214954463721706,1.0798634180914657,1.6171954578004464,Poisson robust with interaction
"age_grp[45,60)",0.8668957186528163,0.11185293356753526,7.750317233560948,9.166326180608023e-15,2.3795126996009683,1.9110712885136678,2.96277837545556,Poisson robust with interaction
"age_grp[60,+)",1.2821369768463609,0.12096462141959202,10.599272430233883,3.003073865198745e-26,3.6043338795739497,2.843530229691385,4.568695131071129,Poisson robust with interaction
diabYes,0.6166201486839206,0.13290903092939932,4.639414977086594,3.4939684213922402e-6,1.8526557471402765,1.4277766556266807,2.4039707498266765,Poisson robust with interaction
hypYes,0.5817762126414597,0.07216538289918371,8.061707556574753,7.523601604567712e-16,1.7892136338720712,1.5532228994370247,2.061059896035545,Poisson robust with interaction
smokeYes:sexMale,0.25632560284790357,0.1479518717340492,1.7324931401250638,0.08318579742681806,1.2921733947881537,0.9669001312487576,1.7268712954272727,Poisson robust with interaction
