term,estimate,std.error,statistic,p.value,RR,LCL,UCL,measure
(Intercept),-3.174984132752197,0.11657514646425872,-27.23551485072017,2.4671873858287576e-163,0.0417947672475874,0.033257618183532164,0.052523381549462574,Poisson robust with interaction
smokeYes,0.10747132216757506,0.10953742541597082,0.9811379239511091,0.3265247309934648,1.113458928700098,0.8983261940007496,1.380112028549994,Poisson robust with interaction
sexMale,0.2787640092539007,0.10302522492103738,2.705784039467582,0.006814334503441994,1.3214954463721689,1.0798634180914675,1.6171954578004393,Poisson robust with interaction
"age_grp[45,60)",0.8668957186528191,0.11185293356753669,7.750317233560874,9.16632618061341e-15,2.379512699600975,1.9110712885136676,2.9627783754555765,Poisson robust with interaction
"age_grp[60,+)",1.2821369768463682,0.12096462141959445,10.599272430233732,3.003073865203594e-26,3.6043338795739763,2.8435302296913925,4.568695131071184,Poisson robust with interaction
diabYes,0.6166201486839297,0.13290903092940054,4.63941497708662,3.493968421391805e-6,1.8526557471402934,1.4277766556266902,2.403970749826704,Poisson robust with interaction
hypYes,0.5817762126414647,0.07216538289918588,8.061707556574579,7.52360160457843e-16,1.78921363387208,1.5532228994370259,2.061059896035564,Poisson robust with interaction
smokeYes:sexMale,0.25632560284790723,0.14795187173405258,1.732493140125049,0.08318579742682072,1.2921733947881586,0.9669001312487547,1.7268712954272905,Poisson robust with interaction
