term,estimate,std.error,statistic,p.value,RR,LCL,UCL,measure
(Intercept),-3.07841574029119,0.10965349628553268,-28.074031787140978,2.0333598774017407e-173,0.046032125754152727,0.03712975560306168,0.05706896172705764,Adj Poisson robust (RR approx)
smokeYes,0.3375704373061948,0.07071304107002174,4.773807379772063,1.8077529180424946e-6,1.4015383254994258,1.2201488711201183,1.6098934518051582,Adj Poisson robust (RR approx)
"age_grp[45,60)",0.8640842886814598,0.11257416312501681,7.675689205185293,1.6453160453345082e-14,2.3728322614723334,1.9030139692937864,2.9586398376115657,Adj Poisson robust (RR approx)
"age_grp[60,+)",1.2854232711018534,0.12319935799685866,10.433684817859433,1.7400660116718902e-25,3.6161982655513336,2.8404217067100563,4.6038550771825,Adj Poisson robust (RR approx)
diabYes,0.6158794645325479,0.1342292347285372,4.588266228129003,4.4694242880754824e-6,1.8512840224604976,1.4230325093142102,2.4084147827860845,Adj Poisson robust (RR approx)
hypYes,0.5842572296734441,0.0736472488251991,7.9331847284638135,2.135963495197922e-15,1.7936582146319848,1.5525653416762526,2.07218962355767,Adj Poisson robust (RR approx)
